ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total,ranking_dinero
3810,311001040168,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC SENDERO DEL SABER,Privado,A,13,12,4843,250,36,4.182029724,6.076798439,0,307,362,466,69.25,51.29,86.44,69.00,50.2
3811,320001001641,VALLEDUPAR,CESAR,COLEGIO SAN ANTONIO,Privado,A,17,16,7491,226,34,4.048112869,7.255851746,0,343.5,362,354.5,64.30,56.52,86.15,68.99,45.8
3812,325754002057,SOACHA,CUNDINAMARCA,COLEGIO EL CASTILLO DE SAN MATEO,Privado,A,18,18,3540,261,31,0,6.420012474,5.189662457,305.5,321.5,302.5,59.53,58.05,89.38,68.99,52.2
3813,181001000777,ARAUCA,ARAUCA,INSTITUCION EDUCATIVA TECNICO CRISTO REY,Oficial,A,98,97,2147,277,41,7.790343285,5.775855541,4.560253143,328.5,288,297.5,59.55,60.42,86.98,68.98,55.4
3814,266001001370,PEREIRA,RISARALDA,IE LA PALMILLA,Oficial,A,19,19,2725,269,36,5.191933632,5.533273697,5.993902683,303.5,312,375.5,63.00,55.73,88.20,68.98,53.2
3815,120750000415,SAN DIEGO,CESAR,INST. EDU. MANUEL RODRIGEZ TORICES,Oficial,A,91,91,3676,260,37,6.711100578,0,5.15746069,281.5,338.5,320.5,60.03,59.34,87.54,68.97,51.6
3816,108001076553,BARRANQUILLA,ATLANTICO,I.E. DISTRITAL DE LAS NIEVES,Oficial,A,156,125,7584,225,35,0,0,0,258.5,299,299,54.08,0.00,83.86,68.97,45.2
3817,115790000031,TASCO,BOYACA,IE JORGE GUILLERMO MOJICA MARQUEZ,Oficial,A,57,57,3314,264,45,7.440446854,4.514678478,5.862719059,328,324.5,325,62.08,59.39,85.44,68.97,52.8
3818,105001001821,MEDELLÍN,ANTIOQUIA,INST EDUC NUEVO HORIZONTE,Oficial,A,40,34,4338,254,32,0,0,0,0,0,0,50.80,0.00,87.13,68.97,50.4
3819,376001020536,CALI,VALLE,COLEGIO  NUESTRA  SEÑORA  DE  LA PROVIDENCIA,Privado,A,36,36,6154,239,37,4.171831131,7.253582478,6.747460365,294.5,313,348,59.73,60.58,86.59,68.97,47.6
3820,205347000095,HELICONIA,ANTIOQUIA,I. E. R. ALTO DEL CORRAL,Oficial,A,11,9,4444,254,50,0,0,6.508306503,318.5,303.5,349,61.25,65.08,80.56,68.97,50.6
3821,376001005910,CALI,VALLE,COL DE LA SANTÍSIMA TRINIDAD,Privado,B,16,15,4493,253,38,4.441931248,6.054612637,7.148258209,306,336.5,343.5,61.95,58.82,86.13,68.96,51.6
3822,152019000251,ALBÁN,NARIÑO,INSTITUCION EDUCATIVA JUAN IGNACIO ORTIZ,Oficial,A,71,68,4282,255,40,7.57609272,5.690593719,5.19018364,305,320.5,309.5,59.50,61.52,85.87,68.96,51.2
3823,105134000046,CAMPAMENTO,ANTIOQUIA,I. E.  NUESTRA SEÑORA DEL ROSARIO,Oficial,A,39,39,6484,236,31,3.635714054,5.625316143,8.048396111,324.5,316.5,339,60.80,57.70,88.39,68.96,46.8
3824,108001003475,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL NUESTRA SEÑORA DEL ROSARIO,Oficial,A,37,36,2729,269,37,7.750210762,4.452642441,6.15775013,318.5,290,284.5,58.10,61.20,87.58,68.96,53.6
3825,105380000527,LA ESTRELLA,ANTIOQUIA,I. E. CONCEJO MUNICIPAL,Oficial,A,67,61,3860,259,45,7.476067066,5.797588825,6.070189953,300.5,308,303,58.53,64.48,83.87,68.96,52.2
3826,313001006701,CARTAGENA DE INDIAS,BOLIVAR,COL. MILITAR ALMIRANTE COLON,Privado,A,549,545,3625,261,45,7.430999279,5.276073456,0,300,307,294.5,58.13,63.54,85.19,68.95,52.2
3827,247980000770,ZONA BANANERA,MAGDALENA,C.E. CERRO BLANCO,Oficial,A,22,14,9029,201,25,6.433608532,6.532186031,6.704858303,261.5,303.5,361,56.35,65.57,84.92,68.94,40.4
3828,115861000011,VENTAQUEMADA,BOYACA,IE FRANCISCO DE PAULA SANTANDER,Oficial,A,119,119,3489,262,39,7.304691315,5.654758453,5.307689667,308.5,303.5,304,58.90,60.89,87.04,68.94,52.4
3829,127001017896,QUIBDÓ,CHOCO,ADVENTISTA DE QUIBDO BOLIVAR ESCANDON,Privado,A,19,18,4592,252,34,0,0,0,0,0,0,50.40,0.00,87.49,68.94,50.6
3830,225885001884,YACOPÍ,CUNDINAMARCA,INSTITUCION EDUCATIVA DEPARTAMENTAL GERARDO BILBAO IBAMA YAC,Oficial,A,13,13,8956,203,24,0,4.611826897,5.742352486,293,379,437,65.60,51.77,89.43,68.93,40.4
3831,247001000221,SANTA MARTA,MAGDALENA,INSTITUCION EDUCATIVA DISTRITAL NUEVA COLOMBIA,Oficial,A,17,17,8115,218,32,5.411886215,5.513203621,7.966182709,279,308.5,327,56.63,62.97,87.20,68.93,43.8
3832,254820000856,TOLEDO,NORTE DE SANTANDER,COL GIBRALTAR,Oficial,A,11,11,3007,266,32,7.436359406,5.587689877,4.318662643,309,314,305.5,59.73,57.81,89.26,68.93,52.8
3833,441298000683,GARZÓN,HUILA,IE AGROP. DEL HUILA,Oficial,A,24,20,5568,244,33,7.033603668,5.554245949,5.770004749,297.5,317,331.5,59.50,61.19,86.10,68.93,48.4
3834,354001007421,CÚCUTA,NORTE DE SANTANDER,COL COOP CANAPRONORT,Privado,A,11,8,2787,269,47,0,5.881005287,0,357,344,368,66.90,58.81,81.07,68.93,53.6
3835,370001003501,SINCELEJO,SUCRE,CENTRO EDUCATIVO JOSE ANTONIO PAEZ (ANTIGUA ESCUELA JOSE ANTONIO PAEZ),Privado,A,5,5,9245,194,41,0,0,0,288,257.5,366.5,55.30,0.00,82.55,68.93,39.6
3836,173001012926,IBAGUÉ,TOLIMA,I.E.T. BICENTENARIO,Privado,A,52,52,4395,254,41,7.552434444,4.239791393,6.222226143,315.5,324.5,318.5,60.63,60.05,86.10,68.92,50.8
3837,270215000823,EL ROBLE,SUCRE,INST EDUC SAN FRANCISCO,Oficial,A,11,11,7629,224,22,4.355204105,7.147212505,5.909254074,318,286,325.5,57.68,58.04,91.06,68.92,44.2
3838,376001001451,CALI,VALLE,COLEGIO EL HOGAR,Privado,A,37,35,5485,245,37,7.274597645,5.587069988,5.955845356,301,302,309.5,57.88,62.73,86.17,68.92,49
3839,108001005028,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL LA SALLE,Oficial,A,51,51,4633,252,40,7.502754211,5.023239613,6.326100826,296.5,310,294,57.63,62.84,86.30,68.92,50.8
3840,376109007242,BUENAVENTURA,VALLE,COLEGIO EL MUNDO DE DANI,Privado,A,25,24,4761,251,40,7.617618561,5.869166374,4.50921154,348.5,312,310,61.08,59.99,85.70,68.92,50.2
