ranking,dane_code,city,department,school,sector,calendar,Matriculados,Publicados,puesto_saber_11,promedio_puntaje_global_saber_11,desviacion_general,isce_media,isce_secundaria,isce_primaria,saber_9_general,saber_5_general,saber_3_general,formula_1,formula_2,formula_3,total,ranking_dinero
1,311001065489,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC CAMPO DAVID,Privado,A,25,25,4,386,20,9.609670639,9.006509781,8.959478378,481,445,434,87.30,91.92,95.07,91.43,78.2
2,311001105430,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LA COLINA                                                                                       ,Privado,B,22,22,20,372,28,8.482491493,9.367835999,9.323954582,479.5,480,455.5,89.35,90.58,93.00,90.98,75.6
3,315001001842,TUNJA,BOYACA,COLEGIO LOS ÁNGELES,Privado,A,47,46,33,365,23,9.442520142,9.443507195,8.9174757,465.5,434.5,424,84.45,92.68,93.95,90.36,73.6
4,376001013441,CALI,VALLE,COLEGIO BILINGUE DIANA OESE,Privado,B,48,48,3,389,28,9.794955254,8.785610199,8.500076294,471,442,438,87.00,90.27,93.29,90.18,78.6
5,408433075713,MALAMBO,ATLANTICO,CENTRO EDUCATIVO OASIS DE FE,Privado,A,3,3,3645,260,10,0,0,0,441.5,483.5,496,84.05,0.00,96.30,90.17,51.6
6,311769003342,BOGOTÁ D.C.,BOGOTÁ D.C.,COL LOS NOGALES,Privado,B,60,59,18,372,23,9.74009037,8.356338501,8.074432373,468,461.5,460,88.08,87.24,94.08,89.80,76
7,425377076576,LA CALERA,CUNDINAMARCA,COL DE  CAMBRIDGE,Privado,A,51,51,188,342,30,9.13007164,9.459846497,9.285360336,450,446,450,84.40,92.92,91.94,89.75,69.4
8,311848002424,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN CARLOS                                                                                      ,Privado,B,101,97,11,376,26,9.66784668,8.356513977,8.364676476,467,462.5,443.5,87.45,87.96,93.28,89.56,76.6
9,425758800009,SOPÓ,CUNDINAMARCA,COL CAMPOALEGRE LTDA,Privado,B,23,23,28,366,26,0,0,0,449.5,439.5,454.5,85.48,0.00,93.37,89.42,75
10,311001076634,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVO COLOMBO AMERICANO,Privado,A,64,64,9,378,26,9.485933304,8.511089325,8.486614227,462,446,439.5,86.28,88.28,93.56,89.37,76.6
11,368001000516,FLORIDABLANCA,SANTANDER,COL NUEVO CAMBRIDGE,Privado,B,47,47,2,400,29,8.70405674,8.913977623,8.380209923,470.5,443,436,87.48,86.66,93.24,89.13,80.6
12,311001086320,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO COLOMBO BRITANICO - BILINGÜE INTERNACIONAL,Privado,A,67,67,10,376,25,9.445204735,8.344333649,8.2208395,470,443.5,420.5,85.50,86.70,93.77,88.66,76.8
13,311769000165,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN JORGE DE INGLATERRA,Privado,B,78,77,6,383,25,8.640644073,8.404416084,8.443443298,463.5,455,439.5,87.05,84.96,93.79,88.60,77.8
14,368276000826,FLORIDABLANCA,SANTANDER,COL LA QUINTA DEL PUENTE,Privado,B,19,19,1,401,32,8.594468117,8.882110596,8.421165466,476,432.5,426,86.78,86.33,92.61,88.57,80.6
15,311848000308,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANGLO AMERICANO,Privado,A,179,179,15,374,24,9.351020813,8.360405922,8.097045898,460.5,440.5,431.5,85.33,86.03,93.97,88.44,76
16,311769001781,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ABRAHAM LINCOLN,Privado,B,70,70,26,368,26,8.322638512,8.47458744,8.738583565,464.5,454.5,443.5,86.53,85.12,93.40,88.35,74.8
17,305001015503,ENVIGADO,ANTIOQUIA,COLEGIO LEONARDO DA VINCI,Privado,B,6,6,23,370,19,8.745437622,0,0,0,459.5,404.5,82.27,87.45,95.12,88.28,75.2
18,425175032666,CHÍA,CUNDINAMARCA,GIMNASIO EL HONTANAR,Privado,A,46,46,40,363,28,9.322766304,8.514530182,8.218570709,461,452.5,426,85.13,86.85,92.84,88.27,74.4
19,373001007662,IBAGUÉ,TOLIMA,COL  SAN BONIFACIO DE LAS LANZAS,Privado,A,47,47,32,365,22,9.39997673,8.281699181,8.211378098,450,421.5,434.5,83.55,86.31,94.32,88.06,74.4
20,311769003938,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING BUCKINGHAM,Privado,B,41,41,43,361,22,8.442985535,8.109025955,8.689127922,462,452,439,85.70,84.14,94.26,88.03,73.6
21,311001089221,BOGOTÁ D.C.,BOGOTÁ D.C.,INST ALBERTO MERANI,Privado,A,30,30,8,380,18,9.406621933,8.373463631,8.046181679,450.5,423.5,394.5,82.43,86.09,95.48,88.00,76.6
22,311848002351,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SANTA FRANCISCA ROMANA,Privado,B,60,60,36,364,21,8.613855362,8.302979469,8.302146912,457.5,448,438,85.38,84.06,94.55,87.99,74.2
23,354518001139,PAMPLONA,NORTE DE SANTANDER,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),Privado,A,20,20,5,386,24,9.28676033,8.382689476,8.754951477,453.5,402.5,390,81.60,88.08,94.15,87.94,77.2
24,425377800011,LA CALERA,CUNDINAMARCA,COLEGIO HACIENDA LOS ALCAPARROS,Privado,B,32,32,132,346,27,0,0,0,441,432.5,439,82.93,0.00,92.76,87.84,71
25,311001031088,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVA INGLATERRA,Privado,A,61,60,64,357,27,9.474674225,8.512566566,8.284426689,470,424,403,82.70,87.57,92.85,87.71,72.8
26,311848000278,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN VERMONT                                                                                        ,Privado,B,90,89,19,372,24,8.595446587,8.476277351,8.03055191,459,439.5,440,85.53,83.67,93.87,87.69,75.8
27,311848000341,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CAMPESTRE                                                                                      ,Privado,B,61,61,41,362,25,8.340682983,8.568225861,8.520492554,449.5,447,436.5,84.75,84.76,93.54,87.68,74
28,311001046077,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO INTERNACIONAL CAMINO A LA CIMA,Privado,A,9,9,363,328,32,0,0,9.031168938,409.5,442,452.5,81.60,90.31,91.11,87.67,67.2
29,311001105375,BOGOTÁ D.C.,BOGOTÁ D.C.,COL  MONTESSORI BRITISH SCHOOL,Privado,B,50,50,24,369,22,8.482172012,8.293253899,8.506099701,453.5,426.5,429.5,83.93,84.27,94.37,87.52,75.2
30,311001107289,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN ALESSANDRO VOLTA,Privado,B,14,14,7,382,22,8.419969559,8.468832016,8.183954239,451,427.5,424.5,84.25,83.58,94.55,87.46,77.2
31,363001002916,CIRCASIA,QUINDIO,LICEO ANGLO COLOMBIANO,Privado,B,5,5,183,342,20,0,0,0,471.5,387,407.5,80.40,0.00,94.48,87.44,69.8
32,341001005652,NEIVA,HUILA,COL EMPRESARIAL DE LOS ANDES,Privado,A,15,14,248,336,28,9.008253098,8.70222187,0,425,411.5,458.5,81.55,88.55,91.79,87.30,67.8
33,311001094403,BOGOTÁ D.C.,BOGOTÁ D.C.,COL REUVEN FEUERSTEIN,Privado,A,17,17,59,358,30,9.280715942,8.176729202,8.266741753,451.5,429.5,437.5,83.83,85.75,92.27,87.28,72.8
34,305001010781,MEDELLÍN,ANTIOQUIA,COL MONTESSORI,Privado,B,57,57,48,360,26,9.25694561,8.232299805,8.137270927,466,422,413.5,83.08,85.42,93.26,87.25,73.8
35,311001087288,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN LA MONTAÑA                                                                                     ,Privado,B,36,36,35,365,30,8.553514481,8.415714264,8.492707253,460,423.5,440.5,84.45,84.87,92.41,87.24,74.6
36,311769003920,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING CLERMONT,Privado,B,23,23,53,359,26,8.331628799,8.254512787,8.676272392,452.5,429.5,444,84.25,84.21,93.25,87.23,73.4
37,311769000921,BOGOTÁ D.C.,BOGOTÁ D.C.,COL HELVETIA                                                                                        ,Privado,B,51,51,58,358,25,8.378124237,8.276295662,8.545783997,445,444,432,83.95,84.00,93.47,87.14,73
38,313001005705,CARTAGENA DE INDIAS,BOLIVAR,COLEGIO INTERNACIONAL CARTAGENA   (COL INTER SCHOOL CABAÑI),Privado,A,20,19,172,344,42,8.812097549,8.846063614,8.577517509,470.5,441,451.5,85.35,87.45,88.58,87.13,70.4
39,311848000286,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN DE LOS CERROS                                                                                  ,Privado,B,46,46,42,362,27,8.690888405,8.669887543,8.316332817,465.5,420,406,82.68,85.59,93.06,87.11,73.8
40,308001004209,BARRANQUILLA,ATLANTICO,COLEGIO MARYMOUNT,Privado,B,59,59,104,350,23,8.313555717,8.156472206,8.61128521,439,429.5,458,83.83,83.60,93.83,87.09,71.8
41,325899090264,ZIPAQUIRÁ,CUNDINAMARCA,COLEGIO SAN ALBERTO MAGNO,Privado,A,27,27,82,354,28,9.296020508,8.496608734,8.085410118,449.5,426,417,82.33,86.26,92.67,87.09,71.6
42,308001001871,BARRANQUILLA,ATLANTICO,NUEVO COLEGIO DEL PRADO,Privado,A,70,70,13,375,30,9.508633614,8.29437542,8.440005302,455.5,387.5,397,80.75,87.48,92.59,86.94,75.4
43,376001012606,CALI,VALLE,ASPAEN LICEO TACURÍ,Privado,B,18,18,124,347,29,8.362780571,8.995581627,8.707803726,433,436.5,415.5,81.60,86.89,92.29,86.92,71
44,311769000866,BOGOTÁ D.C.,BOGOTÁ D.C.,FUND NUEVO MARYMOUNT                                                                                ,Privado,B,57,57,49,360,26,8.452051163,8.197485924,8.199596405,439.5,443.5,449,84.60,82.83,93.26,86.90,73.6
45,350001005317,VILLAVICENCIO,META,COL NUEVO GIMNASIO,Privado,A,55,55,117,348,28,9.344414711,8.719631195,8.070884705,428,434,407,80.85,87.12,92.55,86.84,70.4
46,373001004396,IBAGUÉ,TOLIMA,COL INGLES,Privado,A,18,17,17,374,30,9.143667221,8.811163902,8.086015701,437.5,418.5,401,81.55,86.80,92.16,86.84,75.6
47,350001001095,VILLAVICENCIO,META,COLEGIO ESPIRITU SANTO,Privado,A,43,43,46,361,32,9.242164612,8.05907917,6.982998848,459.5,458,472.5,87.55,80.95,91.86,86.78,73.2
48,368001006255,BUCARAMANGA,SANTANDER,COL BILINGUE DIVINO NIÑO,Privado,A,13,13,52,359,20,9.406486511,7.973526001,8.071277618,422,445,389.5,80.78,84.84,94.72,86.78,73.2
49,315001002920,TUNJA,BOYACA,AMERICAN SCHOOL SAINT FRANCES,Privado,A,15,15,128,346,22,9.315820694,8.127752304,7.991643906,437,420,421,81.20,84.78,94.02,86.67,69.4
50,366001004926,PEREIRA,RISARALDA,COL LIC FRANCES DE PEREIRA,Privado,B,40,40,57,358,20,8.393466949,8.174949646,8.308677673,442.5,424.5,422,82.35,82.92,94.71,86.66,72.4
51,311769004292,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN MATEO APOSTOL                                                                               ,Privado,B,44,44,29,366,29,8.503376007,8.159479141,8.254714966,461.5,430.5,426.5,84.23,83.06,92.66,86.65,74.6
52,311848002262,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ITALIANO LEONARDO DA VINCI,Privado,B,76,76,87,353,26,8.416156769,8.137008667,8.191363335,450,428.5,449.5,84.05,82.48,93.14,86.56,71.6
53,311001005176,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC NAVARRA,Privado,A,48,48,16,374,27,9.35794735,8.052642822,7.921020508,460.5,406,398.5,81.95,84.44,93.27,86.55,75.8
54,311769002818,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO INTERNACIONAL DE EDUCACION INTEGRAL - CIEDI,Privado,B,45,45,99,351,26,8.336975098,8.187767982,8.305789948,448,440,431.5,83.53,82.77,93.10,86.47,71.8
55,311769000556,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN PATRICIO,Privado,A,16,16,61,357,22,9.164516449,7.980660915,8.143931389,442.5,406,411.5,80.85,84.30,94.20,86.45,72.8
56,311001045160,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMNASIO LOS PORTALES COLEGIO BILINGÜE,Privado,B,39,39,83,354,28,8.391876221,8.38106823,8.596811295,439.5,427.5,420,82.05,84.57,92.67,86.43,72.2
57,305360000180,ITAGÜÍ,ANTIOQUIA,COLEGIO ALEMAN,Privado,A,73,73,134,346,29,9.157037735,8.394454956,8.041303635,427.5,427.5,431,81.60,85.31,92.27,86.39,71
58,376001002376,CALI,VALLE,COLEGIO HISPANOAMERICANO,Privado,B,78,77,39,363,26,8.566895485,8.310437202,8.349428177,440,418,414,81.75,84.09,93.23,86.36,73
59,311001105481,BOGOTÁ D.C.,BOGOTÁ D.C.,EL CAMINO ACADEMY                                                                                   ,Privado,B,21,21,125,347,34,8.537836075,8.467129707,8.126433372,453.5,435.5,443.5,83.98,83.77,91.08,86.27,71.4
60,311001090921,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO CORAZONISTA,Privado,A,131,130,27,368,27,9.343066216,8.218223572,7.995060921,437,405,399,80.45,85.19,93.11,86.25,74.4
61,476892099710,YUMBO,VALLE,COLEGIO INTERNACIONAL LOS CAÑAVERALES,Privado,B,8,8,147,345,15,8.405439377,0,8.121738434,421.5,421.5,416,80.20,82.64,95.83,86.22,70.8
62,308001073952,PUERTO COLOMBIA,ATLANTICO,COLEGIO ALTAMIRA,Privado,B,49,49,45,361,26,8.348831177,8.138383865,8.399501801,427,427,432,82.35,82.96,93.28,86.20,74
63,311001047863,CAJICÁ,CUNDINAMARCA,FUNDACION COLEGIO CARDENAL JHON HENRY NEWMAN                         ,Privado,B,35,35,184,342,22,8.141462326,8.47833252,8.483294487,433,428.5,415.5,80.95,83.68,93.96,86.19,70
64,376001002279,CALI,VALLE,COLEGIO COLOMBO BRITÁNICO,Privado,B,86,85,65,357,27,8.292564392,8.354166031,8.335659027,432,434,422.5,82.28,83.27,92.89,86.15,73
65,425175001213,CHÍA,CUNDINAMARCA,COL ABRAHAM MASLOW,Privado,A,17,17,191,342,34,9.035206795,8.175299644,0,433,435.5,418,81.43,86.05,90.96,86.14,69.6
66,308001012805,PUERTO COLOMBIA,ATLANTICO,ASPAEN GIMNASIO LOS CORALES,Privado,B,3,3,467,322,41,8.258630753,0,9.013420105,454,454,437,83.35,86.36,88.71,86.14,66.2
67,425214000149,COTA,CUNDINAMARCA,COL REFOUS,Privado,A,78,77,44,361,23,9.328047752,8.325522423,7.858161449,439,407,378.5,79.28,85.04,93.93,86.08,73
68,311848002611,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC  DE CERVANTES PADRES AGUSTINOS,Privado,A,91,90,72,356,31,9.307683945,8.028125763,8.027095795,441,431.5,405.5,81.70,84.54,91.90,86.05,72.2
69,308001001013,BARRANQUILLA,ATLANTICO,COLEGIO NUESTRA SEÑORA DEL BUEN CONSEJO,Privado,A,61,61,148,345,23,9.199581146,8.335156441,8.104580879,404,413,416,78.90,85.46,93.75,86.04,70.4
70,108001009783,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL ALEXANDER VON HUMBOLDT,Oficial,A,62,61,79,355,34,9.267697334,8.298103333,8.012907028,445.5,430.5,403.5,81.73,85.26,91.12,86.04,71.4
71,368001000729,BUCARAMANGA,SANTANDER,COL  SAN PEDRO CLAVER,Privado,A,111,111,54,359,26,9.357683182,8.094088554,7.970818996,430.5,406.5,404.5,80.03,84.74,93.25,86.00,72.6
72,315001002288,TUNJA,BOYACA,COLEGIO ANDINO DE TUNJA,Privado,A,25,25,86,353,25,9.303731918,8.40809536,7.975907326,433,404.5,388,78.93,85.63,93.39,85.98,71
73,315001002911,TUNJA,BOYACA,GIMNASIO VILLA FONTANA,Privado,A,19,18,205,340,18,0,8.198020935,8.196176529,474,416,393.5,81.18,81.97,94.71,85.95,69.2
74,308758001258,SOLEDAD,ATLANTICO,NUEVO COLEGIO MARIA MONTESSORI,Privado,A,18,18,376,327,28,8.429121971,9.361865044,8.698343277,478,358.5,383.5,77.35,88.30,92.11,85.92,65.8
75,305001000115,RETIRO,ANTIOQUIA,COLEGIO SAN JOSE DE LAS VEGAS,Privado,A,63,63,153,345,32,9.23561573,8.534772873,7.984986782,436,414.5,407.5,80.15,85.85,91.51,85.84,69.8
76,325473000853,MOSQUERA,CUNDINAMARCA,COLEGIO BILINGÜE MELANIE KLEIN SCHOOL,Privado,A,60,60,219,339,27,9.162849426,8.100728989,8.171925545,430,419.5,413.5,80.10,84.79,92.62,85.84,69.4
77,313836000348,CARTAGENA DE INDIAS,BOLIVAR,ASPAEN GIMNASIO CARTAGENA DE INDIAS,Privado,B,27,27,106,350,30,8.28350544,8.517268181,8.584384918,433.5,412.5,419.5,80.78,84.62,92.11,85.83,71.8
78,311001019568,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC FRANCES LOUIS PASTEUR,Privado,B,113,102,75,355,27,8.390818596,8.340434074,8.302031517,436,425.5,418.5,81.75,83.44,92.24,85.81,72.4
79,368001002322,BUCARAMANGA,SANTANDER,INST  CALDAS,Privado,A,28,28,60,357,20,9.212600708,8.022171021,7.954905987,440.5,391,386.5,78.75,83.97,94.69,85.80,72.4
80,376001026968,CALI,VALLE,COLEGIO FREINET,Privado,B,44,44,37,364,27,8.28676033,8.040691376,8.468837738,448,412.5,407.5,81.60,82.65,93.09,85.78,73.8
81,354001000370,CÚCUTA,NORTE DE SANTANDER,COL CALASANZ,Privado,A,91,91,55,359,26,9.34472847,8.105992317,7.972985268,428.5,397.5,402,79.35,84.75,93.25,85.78,72.6
82,354001006572,CÚCUTA,NORTE DE SANTANDER,COL GIMN PARAISO ANTARES,Privado,A,8,8,222,339,40,9.091944695,8.050982475,0,414.5,394.5,495,82.15,85.71,89.45,85.77,67.8
83,405607000476,RETIRO,ANTIOQUIA,COLEGIO GIMNASIO VERMONT,Privado,B,29,29,150,345,27,8.323231697,8.166656494,8.292632103,439,434.5,417.5,81.80,82.61,92.74,85.72,70.4
84,368001002411,FLORIDABLANCA,SANTANDER,FUND COL UIS,Privado,A,98,98,70,356,28,9.306716919,8.219180107,8.061024666,428,407.5,391.5,79.15,85.29,92.71,85.72,72
85,376111000263,GUADALAJARA DE BUGA,VALLE,COL MAYOR CIUDAD DE BUGA,Privado,B,46,46,920,304,42,7.665970802,8.050133705,9.418313026,450.5,461.5,490.5,85.33,83.78,87.86,85.66,60.8
86,311001105707,BOGOTÁ D.C.,BOGOTÁ D.C.,COL CALATRAVA,Privado,B,22,17,74,355,26,8.417757034,8.163547516,8.344804764,451.5,426,412,82.23,83.09,91.62,85.65,72
87,341001005571,NEIVA,HUILA,COL  ANGLOCANADIENSE DE NEIVA,Privado,A,29,29,22,371,23,9.158316612,8.268281937,8.408456802,406,393.5,362,76.63,86.12,94.16,85.63,74.8
88,450606000371,VILLAVICENCIO,META,COLEGIO NEIL ARMSTRONG,Privado,A,22,22,156,345,35,9.29117775,7.963912964,0,433,408.5,406,79.63,86.28,90.79,85.56,70
89,368081000937,BARRANCABERMEJA,SANTANDER,COL EL ROSARIO,Privado,A,43,43,30,366,35,9.396906853,8.329097748,7.940312862,434,398.5,396.5,79.75,85.55,91.27,85.53,74.2
90,311769000475,BOGOTÁ D.C.,BOGOTÁ D.C.,ASPAEN GIMNASIO IRAGUA,Privado,B,54,53,84,354,33,8.270254135,8.262677193,8.33983326,432,437,423.5,82.33,82.91,91.31,85.52,72.2
91,311001042667,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN FONTANA                                                                                        ,Privado,B,54,54,206,340,26,8.220077515,7.955954552,8.571299553,423.5,424.5,435,81.15,82.49,92.90,85.51,69.8
92,311769003474,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANDINO                                                                                          ,Privado,B,116,116,151,345,30,8.3483181,8.132271767,8.198177338,432.5,437.5,429.5,82.23,82.26,92.00,85.50,70.8
93,311848000812,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN FEMENINO                                                                                       ,Privado,B,35,35,97,351,24,8.292339325,8.065599442,8.198716164,412,432,424.5,80.98,81.86,93.60,85.48,72.2
94,468547002051,PIEDECUESTA,SANTANDER,ASPAEN GIMNASIO CANTILLANA,Privado,A,31,31,21,372,41,9.374164581,8.213093758,7.829344749,423.5,434,403,81.63,84.72,90.07,85.47,76
95,311001076642,BOGOTÁ D.C.,BOGOTÁ D.C.,COL BILING NUEVA ALEJANDRIA,Privado,A,14,14,62,357,25,9.156573296,8.349838257,7.821796417,435.5,391.5,382.5,78.33,84.43,93.46,85.40,72.2
96,305001003955,MEDELLÍN,ANTIOQUIA,COMUNIDAD COLEGIO JESUS MARIA,Privado,A,62,62,158,345,39,9.242124557,8.163034439,7.94630146,444,427,420,81.80,84.50,89.84,85.38,70.4
97,311848001011,BOGOTÁ D.C.,BOGOTÁ D.C.,COL ANGLO COLOMBIANO                                                                                ,Privado,B,128,127,192,342,37,8.306985855,8.178072929,8.509339333,440.5,430,440.5,82.65,83.31,90.16,85.38,70.4
98,311848000693,BOGOTÁ D.C.,BOGOTÁ D.C.,COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL),Privado,B,118,113,194,341,28,8.143280029,7.938557625,8.50757122,432,428.5,439.5,82.05,81.96,92.09,85.37,70.2
99,376001024175,CALI,VALLE,COL SANTA  JUANA DE ARCO SEDE # 2,Privado,A,17,17,2401,273,37,7.445738316,8.260643005,9.390492439,443.5,486.5,484,84.35,83.66,88.06,85.36,54.4
100,108001007675,BARRANQUILLA,ATLANTICO,INSTITUCION EDUCATIVA DISTRITAL JORGE NICOLAS ABELLO,Oficial,A,65,65,943,303,38,8.115146637,8.36520195,8.672049522,421.5,460.5,482,83.35,83.84,88.86,85.35,61.2
101,311001002347,COTA,CUNDINAMARCA,COL JOSE MAX LEON,Privado,B,43,43,136,346,30,8.427641869,8.111291885,8.390775681,457,410,404,80.85,83.10,92.02,85.32,70.2
102,325214000179,COTA,CUNDINAMARCA,LICEO DE LOS ANDES,Privado,A,7,7,127,346,16,8.458576202,7.959358215,7.977464676,417,411,405.5,78.98,81.32,95.58,85.29,70.4
103,466001005358,PEREIRA,RISARALDA,LICEO PINO VERDE,Privado,A,27,27,90,353,34,8.980667114,8.156996727,8.168901443,442.5,406.5,401,80.15,84.36,91.21,85.24,72.2
104,311848000936,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SANTA MARIA                                                                                     ,Privado,B,80,80,198,341,31,8.303266525,8.181402206,8.495201111,431,439,404,80.75,83.27,91.67,85.23,70
105,311001010820,BOGOTÁ D.C.,BOGOTÁ D.C.,COL SAN BARTOLOME LA MERCED,Privado,B,119,119,88,353,26,8.374635696,8.089942932,8.186374664,433.5,416.5,403.5,80.33,82.17,93.14,85.21,71.6
106,313001003931,CARTAGENA DE INDIAS,BOLIVAR,COLEGIO JORGE WASHINGTON,Privado,B,36,34,91,353,40,8.380449295,7.957133293,8.07256031,438.5,447,461.5,85.00,81.37,89.26,85.21,72.8
107,311001098051,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN CRISTIANO LOS ANDES,Privado,A,11,11,98,351,25,9.151924133,8.490204811,8.234167099,407,373,389,76.00,86.25,93.35,85.20,71
108,308001077745,BARRANQUILLA,ATLANTICO,COLEGIO REAL (ROYAL SCHOOL),Privado,B,50,50,154,345,33,8.251656532,8.194915771,8.626971245,424.5,415,430,80.73,83.58,91.27,85.19,71
109,425799000459,TENJO,CUNDINAMARCA,GIMNASIO CAMPESTRE SAN RAFAEL,Privado,B,18,18,133,346,27,8.743059158,8.545397758,7.943107605,453.5,395.5,378,78.65,84.11,92.76,85.17,70.4
110,325769000433,TENJO,CUNDINAMARCA,LIC ESPAÑOL PEREZ GALDOS,Privado,A,16,15,160,344,21,9.204195976,8.300046921,0,412,388.5,335.5,74.00,87.52,93.89,85.14,69.6
111,376001009176,CALI,VALLE,COLEGIO LAURETTA BENDER,Privado,B,20,20,142,346,34,7.98860693,8.960354805,8.478397369,421.5,396.5,424,79.40,84.76,91.05,85.07,70.8
112,313001004768,CARTAGENA DE INDIAS,BOLIVAR,COLEGIO BRITANICO DE CARTAGENA,Privado,B,19,19,67,357,31,8.21449852,8.152504921,8.181218147,444.5,421.5,403.5,81.33,81.83,92.01,85.05,73
113,366001006112,PEREIRA,RISARALDA,COL SAINT ANDREWS,Privado,A,8,8,296,333,29,8.970645905,0,7.877093315,428,405,412,78.90,84.24,91.99,85.04,68
114,376001011464,CALI,VALLE,COLEGIO GIMNASIO LA COLINA,Privado,B,26,26,96,351,22,8.356967926,8.24946785,8.186950684,0,422.5,402,78.37,82.64,94.10,85.04,71.6
115,308001013054,PUERTO COLOMBIA,ATLANTICO,INTERNATIONAL BERCKLEY SCHOOL,Privado,B,28,28,317,332,43,8.310848236,8.204097748,8.704264641,431,436.5,448,82.38,84.06,88.53,84.99,68.2
116,311001000832,BOGOTÁ D.C.,BOGOTÁ D.C.,GIMN MODERNO,Privado,A,66,62,200,341,35,9.086481094,8.148932457,8.184415817,425,419.5,416.5,80.10,84.73,90.13,84.99,69.8
117,308001075645,BARRANQUILLA,ATLANTICO,COLEGIO DAVID,Privado,B,12,12,489,320,33,7.927815914,8.585207939,0,425.5,436,453,81.73,82.57,90.65,84.98,65.4
118,411001094661,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC CAMBRIDGE,Privado,A,32,32,130,346,26,9.098930359,8.089134216,0,400,386.5,386,75.93,85.94,93.01,84.96,70.2
119,313836000623,CARTAGENA DE INDIAS,BOLIVAR,ASPAEN GIMNASIO CARTAGENA,Privado,B,24,24,76,355,27,8.326896667,8.497013092,7.716322422,442.5,395.5,409,80.10,81.80,92.93,84.94,72.2
120,305001003769,MEDELLÍN,ANTIOQUIA,COL MARYMOUNT,Privado,B,46,44,247,336,26,7.984539986,7.938429832,7.993578911,434.5,441,438,82.48,79.72,92.51,84.90,69.4
121,385001003916,YOPAL,CASANARE,COLEGIO ALIANZA PEDAGOGICA,Privado,A,23,23,63,357,26,9.381378174,7.989517689,7.999109268,416,396.5,367,76.83,84.57,93.21,84.87,71.4
122,476001029953,CALI,VALLE,COLEGIO LA ARBOLEDA,Privado,B,32,31,80,354,22,8.282852173,8.056660652,8.121717453,426.5,397.5,403.5,79.08,81.54,93.97,84.86,72
123,315516000628,PAIPA,BOYACA,IE JUAN BAUTISTA MARIA VIANNEY,Privado,A,47,46,221,339,30,9.318401337,8.02816391,8.232625008,423,398.5,391.5,77.60,85.26,91.70,84.85,67.4
124,308001011353,PUERTO COLOMBIA,ATLANTICO,COLEGIO ANGLOCOLOMBIA,Privado,B,12,12,905,304,34,7.99548769,8.061097145,0,438.5,475.5,468.5,84.33,80.28,89.94,84.85,62.6
125,311001093652,BOGOTÁ D.C.,BOGOTÁ D.C.,COL AGUSTINIANO CIUDAD SALITRE,Privado,A,161,156,110,349,26,9.099949837,8.038962364,7.972059727,417.5,402,389.5,77.90,83.70,92.85,84.82,70.8
126,368679000478,SAN GIL,SANTANDER,LICEO SUPERIOR RAFAEL POMBO,Privado,A,16,15,449,323,40,0,7.86338377,8.64117527,438.5,452,459,83.63,82.52,88.29,84.81,65.2
127,411769001981,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC JUAN RAMON JIMENEZ,Privado,A,48,48,185,342,27,9.206635475,7.919941902,7.833334446,417.5,408,403.5,78.55,83.20,92.68,84.81,69.6
128,425377000529,LA CALERA,CUNDINAMARCA,COLEGIO TILATA                                                  ,Privado,B,35,35,93,352,33,8.235847473,7.980570316,8.580389023,411,401,441,80.25,82.66,91.43,84.78,72
